Time,Tweet,Comment,Retweet,Like,ImageLink
3:50 AM - 29 Jan 2018,"b'Introducing IDRL Store where you can buy the all new IDRL X Memberships, Official IDRL Merchandise such as Jerseys, Caps, etc, avail of exciting offers and much more. https://droneracingindia.com/store\xc2\xa0 #droneracing #drones #store #merchandise #shop #Membership #Offers #Discounts #educationpic.twitter.com/NvDUDdkdFZ'",0,2,4,
3:54 AM - 29 Jan 2018,"b'Introducing IDRL Wallet loaded with Real Cash, Deep Discounts and Xclusive Offers and Cashbacks for IDRL X Members. Use your IDRL Wallet to get instant discounts on IDRL X Memberships now available on the all new IDRL Store at: https://droneracingindia.com/store\xc2\xa0pic.twitter.com/zWIQyJ5mUh'",0,3,3,
6:48 AM - 22 Jan 2018,"b""Are you ready with your drone to glide through treachrous tracks?If yes, then it's the time to showcase what you got.\nSchedule:\n101 Races-23rd Feb\nPractice Race-24th Feb\nQualifying, Semis and Finals-25th Feb\nCash prize-70k\nDetails: https://droneracingindia.com/events/b94a2b70-f121-11e7-bbbc-f709037b85fd\xc2\xa0\xe2\x80\xa6\nContact: +91 72404 66720pic.twitter.com/pGyWfSaDWu""",0,11,16,
7:09 PM - 23 Jan 2018,"b""Are you ready with your drone to glide through the treachrous tracks, and compete against the premier drone pilots across the nation? If yes, then it's the time to showcase what you got. Witness our Flagship event this APOGEE, IDRL-BITS Pilani.\n#idrl #idrlx #bitsapogee #droneracepic.twitter.com/G9dQ0RYfCE""",0,15,20,
12:56 AM - 27 Dec 2017,b'IDRL 8 @ VJTI RaceTrack Walkthrough: http://youtu.be/oUEeAwQgAkg?a\xc2\xa0 via @YouTube',0,0,0,
9:53 PM - 9 Dec 2017,"b'VJTI Technovanza, powered by Stryker, co-powered by @Seagate is going to sweep the world with its first ever Drone Racing Competition in association with @IDRLdroneracing - Indian Drone Racing League!\nRegister here - http://technovanza.org/drone\xc2\xa0\n#DroneRacing #Technovanza #VJTI #IDRLpic.twitter.com/X3VzZLJpG4'",1,21,37,
6:12 AM - 1 Nov 2017,b'Full coverage starts Saturday afternoon with bonus coverage throughout the day Friday.pic.twitter.com/N0Kz7FbCOj',0,4,7,('https://pbs.twimg.com/ext_tw_video_thumb/925712002110046208/pu/img/Ee8Af0XVKa_4RKVP.jpg')
5:12 AM - 20 Oct 2017,b'Official IDRL #Android #App now available on Google Play! https://play.google.com/store/apps/details?id=com.onemartianway.idrl\xc2\xa0\xe2\x80\xa6 #idrl #droneracing #droneracingindia #fpv #drones #playpic.twitter.com/LFnS1UhdZU',0,5,5,
4:16 PM - 17 Oct 2017,b'@IDRLdroneracing  and @amalthea_iitgn are back with the second season of DRA.\n#aml2k17  #dronerace #Drone_Racing_Amaltheapic.twitter.com/kC5WZaYlM1',0,1,2,
4:34 AM - 24 Sep 2017,b'#IDRL pilot Ritvik Nesargi #Ouroboros against the world\xe2\x80\x99s best at @Rotor_Rush Platinum Cup Finals at #EGX UK #droneracing #drones #fpvracingpic.twitter.com/8RoPIygz5W',0,4,10,
1:51 AM - 24 Sep 2017,b'Just 10 more mins! IDRL pilot Ritvik Nesargi takes on world pilots at EGX UK live at: https://www.twitch.tv/rotor_rush\xc2\xa0 #GoOuroboros',0,1,3,
7:16 AM - 8 Sep 2017,"b'5 of 7 finalist found, the racing continues... @ESL @TwitchEsports @Multi_GP @DroneRaceeSport @IDRLdroneracing @EGX @FPVLive @TinyWhooppic.twitter.com/bYKYUEQIQ3'",0,2,3,
9:59 PM - 6 Sep 2017,b'#Ouroboros wins Indian Qualifier of #IDRL @Rotor_Rush Platinum Cup and flies to represent #India at @EGX UK Platinum Cup Finals #droneracingpic.twitter.com/ienEhSP9Rh',0,5,6,
3:15 AM - 3 Aug 2017,b'Introducing xFleetY from 1 Martian Way - a drone fleet and airspace management platform #drones #ArtificialIntelligence #fleet #platform #aipic.twitter.com/GAVViU1oTw',0,2,7,
6:14 PM - 25 Jul 2017,b'Some key players behind the @FIAformulaE team trying out some #drone racing!pic.twitter.com/Yxfj5gnGYz',0,2,3,
9:33 PM - 17 Jun 2017,"b'Top pro pilots competing at #IDRL Episode 6 at NIT, Nagpur #droneracing #drones #fpvlife #fpvracing #dronelife @bampi2kpic.twitter.com/xsxETY2enA'",0,1,4,
9:30 PM - 17 Jun 2017,"b'Pilot #SwagFPV dialled in at #IDRL Episode 6 at NIT, Nagpur #droneracing #dronestagram #drones #fpvlife #fpvracingpic.twitter.com/ZdDti588Mf'",0,0,5,
9:26 PM - 10 May 2017,b'A great article featuring #IDRL and its pilots: https://goo.gl/mvaQmB\xc2\xa0 via @NewIndianXpress #droneracing #news #drones #fpv #fpvracing',0,6,10,
10:47 AM - 22 Apr 2017,b'Team @smartsdiot working relentless for  making fpv drone one of the future sports of India. @IDRLdroneracing @iAyanPahwa @rajdeepucbpic.twitter.com/4Ik1uDEhOc',0,2,4,
12:28 AM - 19 Apr 2017,b'IDRL 5 Race Track Walkthrough Part 2 http://youtu.be/Kfv3_gppyh8?a\xc2\xa0',0,0,1,
7:55 AM - 3 Apr 2017,b'Just 24 hours till the #IDRL Rotor Rush World Series starts. Register to win big at: http://rotorrush.com/madras-iit/\xc2\xa0 #drones #racing #fpv #simulatorpic.twitter.com/FM5HSel1yd',0,3,5,
8:08 PM - 31 Mar 2017,b'#IDRL Global Sim Series starts this Tuesday. Win a @FatsharkRC goggles http://rotorrush.com/madras-iit/\xc2\xa0 @Rotor_Rush @FPVracingevents @rodeoannouncerpic.twitter.com/Gaywkt8vpH',0,3,9,
8:02 PM - 31 Mar 2017,b'Official #IDRL #simulator launched! Compete this Tuesday to win a Fatshark goggles: http://rotorrush.com/madras-iit/\xc2\xa0 #droneracing #gaming #fpv #uavpic.twitter.com/ZPebvLDYwM',0,6,9,
1:49 PM - 29 Mar 2017,b'What a nice guy...https://twitter.com/IDRLdroneracing/status/847097105386659841\xc2\xa0\xe2\x80\xa6',1,3,5,
7:44 AM - 29 Mar 2017,b'What an awesome treat seeing these in the mail today & even better are those stickers :) Thanks a ton Joe! @rodeoannouncer @FPVracingeventspic.twitter.com/u6hQoHKUed',2,0,6,
9:47 PM - 26 Mar 2017,b'IDRL 5 Race Track Walkthrough - Part 1: http://youtu.be/7efEgKkkrII?a\xc2\xa0 via @YouTube',0,0,2,
10:58 AM - 24 Mar 2017,"b""Commentary Box fun moments @ IDRL 5 - Beginner's Day: http://youtu.be/7c_L6qacptk?a\xc2\xa0 via @YouTube""",0,0,1,
10:44 AM - 24 Mar 2017,"b""#IDRL Episode 5 @FPVIT - Mega Event of Season 1 has begun! Don't miss live broadcast of the pro race on FB and Youtube #idrl #droneracingpic.twitter.com/EBAN0BXgUQ""",0,0,3,
12:43 PM - 22 Mar 2017,b'Great product from our parent company 1 @1MartianWayhttps://twitter.com/1MartianWay/status/844634454698057728\xc2\xa0\xe2\x80\xa6',0,0,1,
10:39 PM - 21 Mar 2017,"b""Top #IDRL pilot and winner of IDRL Episode 4 - Devesh's epic lap #droneracing #fpv #fpvlife #uav #drones #racing #dronepilot @FatsharkRCpic.twitter.com/eieXP3rRwX""",0,0,4,('https://pbs.twimg.com/ext_tw_video_thumb/844422848194203649/pu/img/RM1oVWFJrUJgXFMx.jpg')
8:09 PM - 10 Mar 2017,b'IDRL race tracks to soon launch exclusively on the @Rotor_Rush #droneracing #simulator platform. #fpv #uav #stem #education #drones #vr',0,0,2,
8:04 PM - 10 Mar 2017,b'IDRL is thrilled to #announce its partnership with @Rotor_Rush to bring the best #droneracing sim in the world to #India. #fpv #uav #stemhttps://twitter.com/rotor_rush/status/840278218829643777\xc2\xa0\xe2\x80\xa6',0,1,2,
1:04 AM - 7 Mar 2017,b'The rush has begunpic.twitter.com/vfAFtwmBVv',0,3,5,('https://pbs.twimg.com/ext_tw_video_thumb/839038055600250880/pu/img/ott_OibZ35D3UqWT.jpg')
12:41 AM - 20 Feb 2017,b'I added a video to a @YouTube playlist http://youtu.be/Drt-pr6EC9o?a\xc2\xa0 Introducing the Allianz World Championship | Drone Racing League',0,1,0,
3:53 AM - 11 Feb 2017,b'IDRL SDIOT: http://youtu.be/Vz_rbljSB5I?a\xc2\xa0 via @YouTube',0,0,0,
3:29 AM - 28 Jan 2017,b'Congratulations #SwagFPV for winning #IDRL #Episode2 - Formula DrOne at @ShaastraIITM!pic.twitter.com/HWYlcthM6v',0,0,2,
2:45 AM - 28 Jan 2017,"b""As epic as it gets! Pilot #ManjuFPV flying at #IDRL Episode 2 Formula DrOne - India's First Night Drone Racing Track #droneracing #dronespic.twitter.com/4DwGaKVcDw""",0,3,8,('https://pbs.twimg.com/ext_tw_video_thumb/825293272889188352/pu/img/83eNrotOv6owetiG.jpg')
2:36 AM - 28 Jan 2017,b'The first Night Drone Race Track in India designed by #IDRL at its #Episode 2 - Formula DrOne #droneracingindia #indiandroneracingleaguepic.twitter.com/fcHwOhoule',0,0,1,
2:34 AM - 28 Jan 2017,b'Lights sounds DJing cockpit at #IDRL #Episode2 - Formula DrOne #droneracing #droneracingindia #indiandroneracingleaguepic.twitter.com/7IUCMkmaFB',1,1,1,
2:32 AM - 28 Jan 2017,"b'The magnificent start gate at #IDRL #Episode2 IIT Madras held on Jan 2nd, 2017 #droneracing #droneracingindia #indiandroneracingleaguepic.twitter.com/dFubztLMGJ'",0,0,3,
11:24 PM - 25 Jan 2017,b'#FPV #DRONE #DRONERACING #SDIOT #IDRL @smartsdiot @IDRLdroneracingpic.twitter.com/tFP60iIhAY',1,1,2,
1:38 AM - 31 Dec 2016,"b""#IDRL Episode 2 Formula Drone @ShaastraIITM IIT Madras set for India's First Night Drone Race #happynewyear #droneracingindia @FatsharkRCpic.twitter.com/IpSIkssSCR""",0,4,7,
